,title,company_name,location,stipend,intern_type
7792,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7793,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7794,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7795,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7796,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7797,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7798,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7799,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7800,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7801,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7802,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7803,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
7804,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
7805,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
7806,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7807,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7808,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7809,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7810,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7811,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7812,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7813,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7814,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7815,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7816,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7817,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7818,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7819,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7820,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7821,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7822,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7823,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
7824,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7825,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7826,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7827,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7828,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7829,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7830,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7831,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7832,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7833,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7834,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7835,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7836,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7837,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7838,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7839,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
