,title,company_name,location,stipend,intern_type
0,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
2,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
3,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
4,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
5,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
6,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
8,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
9,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
10,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
11,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
12,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
13,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
14,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
15,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
16,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
17,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
18,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
19,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
20,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
21,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
22,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
23,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
24,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
25,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
26,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
27,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
28,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
29,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
30,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
31,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
32,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
33,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
34,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
35,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
36,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
37,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
38,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
39,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
40,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
41,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
42,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
43,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
44,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
45,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
46,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
47,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
48,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
49,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
50,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
51,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
52,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
53,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
54,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
55,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
56,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
57,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
58,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
59,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
60,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
61,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
62,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
63,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
64,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
65,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
66,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
67,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
68,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
69,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
70,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
71,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
72,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
73,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
74,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
75,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
76,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
77,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
78,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
79,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
80,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
81,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
82,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
83,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
84,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
85,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
86,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
87,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
88,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
89,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
90,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
91,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
92,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
93,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
94,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
95,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
96,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
97,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
98,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
99,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
100,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
101,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
102,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
103,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
104,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
105,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
106,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
107,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
108,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
109,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
110,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
111,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
112,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
113,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
114,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
115,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
116,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
117,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
118,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
119,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
120,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
121,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
122,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
123,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
124,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
125,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
126,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
127,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
128,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
129,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
130,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
131,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
132,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
133,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
134,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
135,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
136,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
137,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
138,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
139,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
140,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
141,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
142,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
143,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
144,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
145,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
146,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
147,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
148,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
149,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
150,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
151,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
152,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
153,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
154,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
155,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
156,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
157,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
158,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
159,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
160,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
161,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
162,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
163,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
164,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
165,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
166,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
167,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
168,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
169,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
170,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
171,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
172,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
173,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
174,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
175,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
176,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
177,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
178,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
179,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
180,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
181,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
182,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
183,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
184,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
185,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
186,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
187,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
188,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
189,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
190,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
191,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
192,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
193,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
194,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
195,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
196,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
197,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
198,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
199,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
200,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
201,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
202,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
203,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
204,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
205,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
206,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
207,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
208,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
209,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
210,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
211,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
212,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
213,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
214,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
215,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
216,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
217,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
218,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
219,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
220,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
221,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
222,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
223,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
224,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
225,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
226,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
227,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
228,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
229,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
230,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
231,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
232,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
233,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
234,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
235,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
236,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
237,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
238,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
239,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
240,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
241,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
242,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
243,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
244,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
245,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
246,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
247,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
248,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
249,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
250,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
251,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
252,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
253,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
254,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
255,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
256,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
257,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
258,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
259,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
260,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
261,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
262,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
263,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
264,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
265,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
266,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
267,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
268,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
269,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
270,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
271,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
272,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
273,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
274,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
275,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
276,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
277,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
278,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
279,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
280,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
281,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
282,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
283,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
284,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
285,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
286,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
287,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
288,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
289,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
290,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
291,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
292,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
293,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
294,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
295,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
296,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
297,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
298,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
299,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
300,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
301,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
302,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
303,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
304,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
305,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
306,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
